epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,3019.85,1.21135,0.97594,1.1389,0.66301,0.52752,0.53058,0.33577,1.80973,1.83534,1.62302,0.000896846,0.000896846,0.000896846
142,3040.28,1.25278,0.94529,1.15079,0.73722,0.50757,0.54567,0.35021,1.75568,1.758,1.6089,0.000891345,0.000891345,0.000891345
143,3062.53,1.23912,0.96853,1.16516,0.76078,0.47421,0.53216,0.34013,1.76445,1.87117,1.63557,0.000885844,0.000885844,0.000885844
144,3082.92,1.25077,0.97502,1.1824,0.81258,0.47114,0.54269,0.33857,1.77346,1.76671,1.58808,0.000880343,0.000880343,0.000880343
145,3103.47,1.1775,0.89698,1.1313,0.70103,0.5009,0.52409,0.32451,1.80953,1.84426,1.60893,0.000874842,0.000874842,0.000874842
146,3123.86,1.25391,0.96039,1.17022,0.7373,0.49756,0.52662,0.33005,1.80949,1.87433,1.66648,0.00086934,0.00086934,0.00086934
147,3144.34,1.20014,0.91542,1.14945,0.66479,0.51915,0.53011,0.33613,1.77544,1.81428,1.59632,0.000863839,0.000863839,0.000863839
148,3164.79,1.22218,0.94076,1.15392,0.70218,0.53428,0.55022,0.34291,1.78826,1.81571,1.61188,0.000858338,0.000858338,0.000858338
149,3185.24,1.24198,0.93691,1.1647,0.75142,0.48107,0.54827,0.3324,1.80905,1.74088,1.63034,0.000852837,0.000852837,0.000852837
150,3205.7,1.20642,0.93114,1.14221,0.71,0.51641,0.54963,0.34174,1.8253,1.75772,1.64266,0.000847336,0.000847336,0.000847336
151,3226.19,1.21962,0.92974,1.1426,0.7938,0.52164,0.57979,0.35833,1.80499,1.69735,1.67501,0.000841835,0.000841835,0.000841835
152,3248.28,1.19661,0.93753,1.14261,0.81804,0.49592,0.55282,0.35359,1.82198,1.75552,1.68458,0.000836334,0.000836334,0.000836334
153,3268.72,1.19817,0.92873,1.15438,0.73914,0.5074,0.55312,0.36379,1.76702,1.77879,1.63452,0.000830833,0.000830833,0.000830833
154,3290.84,1.17553,0.88132,1.1407,0.79961,0.50327,0.56516,0.35752,1.79343,1.73518,1.6293,0.000825332,0.000825332,0.000825332
155,3311.3,1.15556,0.87502,1.11246,0.77617,0.48125,0.53468,0.33935,1.8156,1.72839,1.66538,0.000819831,0.000819831,0.000819831
156,3331.74,1.14392,0.88367,1.10957,0.77543,0.50956,0.56949,0.36323,1.77677,1.62337,1.67665,0.000814329,0.000814329,0.000814329
157,3352.19,1.12967,0.86372,1.10822,0.68087,0.51278,0.5347,0.35013,1.78304,1.76879,1.6496,0.000808828,0.000808828,0.000808828
158,3372.68,1.13726,0.87941,1.12239,0.72443,0.53337,0.55415,0.35688,1.75281,1.75797,1.60491,0.000803327,0.000803327,0.000803327
159,3393.14,1.16649,0.86881,1.11093,0.75498,0.51948,0.55114,0.35275,1.79109,1.73465,1.62809,0.000797826,0.000797826,0.000797826
160,3413.52,1.14628,0.87226,1.12479,0.74897,0.50397,0.54433,0.36131,1.74456,1.69873,1.61143,0.000792325,0.000792325,0.000792325
161,3433.96,1.14628,0.83013,1.09904,0.76424,0.52259,0.56759,0.38556,1.70465,1.66659,1.65282,0.000786824,0.000786824,0.000786824
162,3456.12,1.11798,0.85109,1.1039,0.73608,0.50591,0.53266,0.35822,1.78629,1.84675,1.66178,0.000781323,0.000781323,0.000781323
163,3476.56,1.133,0.85858,1.1012,0.81021,0.50536,0.5629,0.37886,1.73544,1.69024,1.63326,0.000775822,0.000775822,0.000775822
164,3496.95,1.13456,0.84943,1.10732,0.74238,0.5403,0.55893,0.37445,1.70451,1.78487,1.61952,0.000770321,0.000770321,0.000770321
165,3517.44,1.14861,0.86451,1.11301,0.78226,0.5231,0.56624,0.37801,1.73985,1.73776,1.61363,0.00076482,0.00076482,0.00076482
166,3537.81,1.10904,0.84244,1.10014,0.79488,0.50708,0.56277,0.38344,1.73551,1.68566,1.62976,0.000759318,0.000759318,0.000759318
167,3558.24,1.14913,0.85133,1.12347,0.8019,0.50253,0.54507,0.36342,1.74868,1.80884,1.62579,0.000753817,0.000753817,0.000753817
168,3578.62,1.11686,0.83419,1.11412,0.7847,0.49132,0.54841,0.36615,1.7373,1.77399,1.67604,0.000748316,0.000748316,0.000748316
169,3599.08,1.13282,0.86265,1.10234,0.70802,0.52227,0.54749,0.35943,1.75957,1.82043,1.61393,0.000742815,0.000742815,0.000742815
170,3619.58,1.15101,0.83906,1.10767,0.68773,0.52325,0.5294,0.35443,1.78878,1.82704,1.61025,0.000737314,0.000737314,0.000737314
171,3640.09,1.10428,0.83326,1.10982,0.84836,0.50848,0.57117,0.3771,1.69294,1.75778,1.58589,0.000731813,0.000731813,0.000731813
172,3660.52,1.09769,0.81411,1.08683,0.78207,0.52742,0.56741,0.38591,1.6786,1.71526,1.61814,0.000726312,0.000726312,0.000726312
173,3682.62,1.0814,0.80966,1.0716,0.72845,0.53983,0.57034,0.38271,1.70782,1.70041,1.62059,0.000720811,0.000720811,0.000720811
174,3702.96,1.10996,0.8377,1.10264,0.7239,0.55123,0.57561,0.38974,1.70579,1.69305,1.62828,0.00071531,0.00071531,0.00071531
175,3725.24,1.10773,0.80766,1.091,0.7834,0.55374,0.57595,0.38821,1.73962,1.70033,1.63683,0.000709809,0.000709809,0.000709809
176,3745.73,1.09803,0.81165,1.09163,0.81511,0.55772,0.58977,0.40346,1.68788,1.66566,1.63241,0.000704307,0.000704307,0.000704307
177,3768,1.07548,0.79808,1.07667,0.79731,0.55032,0.57697,0.39128,1.66391,1.74331,1.58739,0.000698806,0.000698806,0.000698806
178,3788.55,1.07407,0.79676,1.08968,0.81467,0.55015,0.58956,0.40132,1.66851,1.65049,1.59805,0.000693305,0.000693305,0.000693305
179,3809,1.07833,0.80001,1.08335,0.8452,0.5362,0.5715,0.39175,1.67017,1.67926,1.57608,0.000687804,0.000687804,0.000687804
