epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,6579.06,1.6754,1.63591,1.53587,0.53137,0.32774,0.33403,0.13992,2.30582,2.34219,1.89955,0.000748316,0.000748316,0.000748316
169,6617.56,1.75555,1.71394,1.56982,0.4484,0.36111,0.32132,0.13007,2.27982,2.2878,1.86174,0.000742815,0.000742815,0.000742815
170,6657.67,1.6975,1.69274,1.57162,0.49393,0.34217,0.33797,0.13944,2.26036,2.35072,1.83908,0.000737314,0.000737314,0.000737314
171,6696.75,1.7299,1.71943,1.59307,0.51691,0.35678,0.36452,0.14946,2.2166,2.29835,1.7937,0.000731813,0.000731813,0.000731813
172,6740.74,1.69383,1.69593,1.55178,0.44911,0.37662,0.35219,0.13668,2.34332,2.26329,1.85244,0.000726312,0.000726312,0.000726312
173,6783.75,1.69333,1.66765,1.59276,0.58434,0.31812,0.36334,0.1538,2.30247,2.30325,1.88697,0.000720811,0.000720811,0.000720811
174,6830.87,1.6769,1.60865,1.53625,0.53408,0.37163,0.37361,0.15075,2.33995,2.18258,1.88784,0.00071531,0.00071531,0.00071531
175,6874.17,1.698,1.62328,1.54037,0.49425,0.37698,0.35274,0.13461,2.30931,2.17249,1.85579,0.000709809,0.000709809,0.000709809
176,6919.63,1.68461,1.64506,1.54417,0.6358,0.32973,0.38458,0.15472,2.27221,2.14537,1.82091,0.000704307,0.000704307,0.000704307
177,6968.17,1.6884,1.63307,1.56439,0.50669,0.39989,0.38651,0.1531,2.32407,2.1681,1.85886,0.000698806,0.000698806,0.000698806
178,7013.64,1.67946,1.63831,1.5448,0.59472,0.33267,0.36739,0.15863,2.33301,2.21531,1.8793,0.000693305,0.000693305,0.000693305
179,7061.92,1.67131,1.58037,1.52439,0.53844,0.39935,0.39254,0.16622,2.28285,2.15275,1.8541,0.000687804,0.000687804,0.000687804
